tower_type,faa_study_number,registration_number,latitude,longitude,status_code,date_constructed,structure_street_address,structure_city,structure_state_code,height_of_structure,ground_elevation,overall_height_above_ground,overall_height_amsl,structure_type,owner_entity_name,owner_licensee_id,owner_first_name,owner_last_name,owner_phone,owner_internet_address,owner_street_address,owner_po_box,owner_city,owner_state,owner_zip_code,owner_attention,rep_entity_name,rep_licensee_id,rep_first_name,rep_last_name,rep_phone,rep_internet_address,rep_street_address,rep_po_box,rep_city,rep_state,rep_zip_code,rep_attention,hist1_purpose,hist1_status,hist1_date,hist1_addnl,hist2_purpose,hist2_status,hist2_date,hist2_addnl,hist3_purpose,hist3_status,hist3_date,hist3_addnl
Registered,2007-AGL-2076-OE,1000322,42.6963888888889,-84.5255555555556,Constructed,01/01/1992,3414 AURELIUS,LANSING,MI,279.8693,845.1856,303.1644,1148.35,Tower,Pinnacle Towers LLC,L00132131,,,7244162000,Regulatory.Department@Crowncastle.com,2000 Corporate Drive,,Canonsburg,PA,15317    ,,Crown Castle,,Don,Snyder,7244162470,Don.Snyder@crowncastle.com,2000 Corporate Drive,,Canonsburg,PA,15317    ,,Adm Update,Granted,05/06/2016,NA,Adm Update,Granted,05/03/2015,NA,Constructed,Granted,10/20/2008,NA
Registered,83-AGL-1800-OE,1001136,42.7547222222222,-84.5255555555556,Constructed,01/01/1984,1716 DAVID ST,LANSING,MI,154.8632,883.9014,155.1913,1039.0927,Tower,LANSING CITY OF,,,,5174834840,,817 W HOLMES RD,,LANSING,MI,489104459,POLICE EEMU DAVID KAZMIRZACK,,,,,,,,,,,,,New Reg,Granted,09/30/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA
Registered,2002-AGL-3824-OE,1055183,42.6758333333333,-84.5,Constructed,01/01/1983,3202 PINE TREE RD,LANSING,MI,681.4637,877.3394,684.4166,1561.756,NA,VB-S1 Assets LLC,L02135681,,,5614064015,FCC-FAA@verticalbridge.com,750 Park of Commerce Dr,,Boca Raton,FL,33487    ,FCC Contact,VB-S1 Assets LLC,,Richard,Hickey,5614064015,FCC-FAA@verticalbridge.com,750 Park of Commerce Dr,,Boca Raton,FL,33487    ,FCC Contact,Owner Change,Granted,01/30/2018,Rep VB-S1 Assets LLC / Owner VB-S1 Assets LLC / ,Adm Update,Granted,05/02/2017,NA,Owner Change,Granted,09/01/2015,Owner Vertical Bridge Towers LLC / Rep Vertical Bridge Towers LLC / 
Registered,2004-AGL-6265-OE,1213720,42.7624722222222,-84.5205277777778,Constructed,11/04/2004,2127 Lake Lansing Road,Lansing,MI,125.0061,912.118,127.959,1040.077,Tower,Crown Castle Towers 05 LLC,L01045201,,,7244162000,Regulatory.Department@Crowncastle.com,2000 Corporate Drive,,Canonsburg,PA,15317    ,,Crown Castle,,Don,Snyder,7244162470,Don.Snyder@crowncastle.com,2000 Corporate Drive,,Canonsburg,PA,15317    ,,Adm Update,Granted,05/06/2016,NA,Adm Update,Granted,05/03/2015,NA,Owner Change,Granted,08/02/2005,Owner CROWN CASTLE TOWER 05 LLC / 
Registered,97-AGL-0204-OE,1031213,42.7283333333333,-84.515,Constructed,10/14/1997,507 MIFFLIN AVE,LANSING,MI,438.6697,835.0145,439.9821,1274.9966,Tower,SEEBURG CORPORATION,,,,5173320000,,507 MIFFLIN AVE,,LANSING,MI,48912    ,TOM DE ANGELO,,,,,,,,,,,,,New Reg,Granted,10/07/1997,NA,NA,NA,NA,NA,NA,NA,NA,NA
Registered,2014-AGL-1668-OE,1035421,42.7396388888889,-84.5119166666667,Constructed,04/01/2014,2820 E Saginaw Street,LANSING,MI,425.5457,857.9815,430.1391,1288.1206,NA,Nexstar Broadcasting Inc,L00777482,,,9723738800,eryder@nexstar.tv,545 E John Carpenter Freeway,,Irving,TX,75062    ,Elizabeth Ryder,Nexstar Broadcasting Inc,,Elizabeth,Ryder,9723738800,eryder@nexstar.tv,545 E John Carpenter Freeway,,Irving,TX,75062    ,Elizabeth Ryder,Owner Change,Granted,03/20/2017,Rep Nexstar Broadcasting Inc / Owner Nexstar Broadcasting Inc / ,Constructed,Granted,01/08/2015,NA,Modification,Granted,08/20/2014,NA
Registered,98-AGL-4002-OE,1061443,42.7164166666667,-84.4824166666667,Constructed,11/11/2016,1423 RECYCLING DRIVE,EAST LANSING,MI,224.7485,864.8716,239.8411,1104.7127,NA,MICHIGAN STATE UNIVERSITY,L00038355,,,5173537989,gress@ipf.msu.edu,1120 RED CEDAR ROAD- ROOM W110,,EAST LANSING,MI,48824    ,ROBERT L. GRESS PE,MICHIGAN STATE UNIVERSITY,,ROBERT,GRESS,5173537989,gress@ipf.msu.edu,1120 RED CEDAR ROAD- ROOM W110,,EAST LANSING,MI,48824    ,,Constructed,Granted,12/20/2017,NA,Modification,Granted,11/11/2016,NA,Constructed,Granted,08/05/1999,NA
Registered,96-AGL-1696-OE,1001249,42.7261111111111,-84.4947222222222,Constructed,05/22/1996,716 S HARRISON RD,EAST LANSING,MI,229.67,845.1856,239.513,1084.6986,Tower,MICHIGAN STATE OF,L00001365,,,5173335050,,4000 Collins Rd,30631,Lansing,MI,489098131,DTMB - MPSCS,MICHIGAN STATE OF,,Brian,Aprill,5173366212,aprillb@michigan.gov,4000 Collins Rd,30631,Lansing,MI,489098131,,Adm Update,Granted,03/02/2011,NA,Adm Update,Granted,04/09/2007,NA,New Reg,Granted,09/25/1996,NA
Registered,2016-AGL-9288-OE,1055176,42.7202777777778,-84.5196111111111,Constructed,09/01/2016,2150 E MAIN ST,LANSING,MI,325.8033,832.7178,325.8033,1158.5211,NA,Townsquare Media Lansing LLC,L01849698,,,2038610900,fcccontact@townsquaremedia.com,240 Greenwich Avenue,,Greenwich,CT,06830    ,Mark T. Simpson,Townsquare Media Lansing LLC,,Mark,Simpson,2038610900,fcccontact@townsquaremedia.com,240 Greenwich Avenue,,Greenwich,CT,06830    ,,Adm Update,Granted,07/27/2017,NA,Constructed,Granted,07/27/2017,NA,Modification,Granted,07/15/2016,NA
Registered,2007-AGL-2220-OE,1221308,42.6800555555556,-84.4488888888889,Constructed,08/01/2001,3403 James Phillips Drive  Massman #091728,Okemos,MI,229.9981,882.9171,229.9981,1112.9152,Tower,Global Tower LLC through American Towers LLC,L00008376,,,6785643236,faa-fcc@americantower.com,10 Presidential Way,,Woburn,MA,01801    ,FAA/FCC Regulatory,American Towers LLC,,,,6785643236,faa-fcc@americantower.com,10 Presidential Way,,Woburn,MA,01801    ,FAA/FCC Regulatory,Owner Change,Granted,09/02/2014,Owner American Towers LLC / Assignor Global Tower LLC / Rep American Towers LLC / ,Adm Update,Granted,05/18/2009,NA,Constructed,Granted,01/31/2008,NA
